osmid,y,x,street_count,highway,railway,junction,geometry
81287595,51.6327284,39.1809166,3,,,,POINT (39.1809166 51.6327284)
81287596,51.632897,39.18206,3,,,,POINT (39.18206 51.632897)
81287597,51.6340546,39.1893645,4,traffic_signals,,,POINT (39.1893645 51.6340546)
81289137,51.6287814,39.286576,3,,,,POINT (39.286576 51.6287814)
81289143,51.6222407,39.2625346,3,,,,POINT (39.2625346 51.6222407)
81289826,51.6616347,39.2651022,3,,,,POINT (39.2651022 51.6616347)
81289834,51.6577841,39.2848339,3,,,,POINT (39.2848339 51.6577841)
229255007,51.6683235,39.1921012,4,traffic_signals,,,POINT (39.1921012 51.6683235)
248543631,51.6552815,39.1366608,3,,,,POINT (39.1366608 51.6552815)
248543635,51.6654543,39.1652789,3,,,,POINT (39.1652789 51.6654543)
248543665,51.663953,39.1503274,4,traffic_signals,,,POINT (39.1503274 51.663953)
248543694,51.6620526,39.187536,4,traffic_signals,,,POINT (39.187536 51.6620526)
248543695,51.6654219,39.1764072,4,traffic_signals,,,POINT (39.1764072 51.6654219)
248543723,51.6721662,39.1995514,4,traffic_signals,,,POINT (39.1995514 51.6721662)
248543759,51.6698577,39.1947394,4,traffic_signals,,,POINT (39.1947394 51.6698577)
248543762,51.6736666,39.1856282,4,traffic_signals,,,POINT (39.1856282 51.6736666)
248543790,51.6635022,39.2017231,3,traffic_signals,,,POINT (39.2017231 51.6635022)
248544022,51.6729604,39.1965299,3,,,,POINT (39.1965299 51.6729604)
253843418,51.656866,39.3026253,4,,,,POINT (39.3026253 51.656866)
266718614,51.6680404,39.2071344,3,,,,POINT (39.2071344 51.6680404)
266718618,51.6678266,39.2203116,4,,,,POINT (39.2203116 51.6678266)
266718623,51.6651915,39.1998207,4,traffic_signals,,,POINT (39.1998207 51.6651915)
266718624,51.6641326,39.197188,4,traffic_signals,,,POINT (39.197188 51.6641326)
266718625,51.6573602,39.2053207,3,,,,POINT (39.2053207 51.6573602)
266718629,51.670982,39.203623,3,,,,POINT (39.203623 51.670982)
266718639,51.6715143,39.2016833,4,,,,POINT (39.2016833 51.6715143)
272254609,51.6787294,39.2201099,4,,,,POINT (39.2201099 51.6787294)
272258102,51.6613114,39.2113439,3,,,,POINT (39.2113439 51.6613114)
272258103,51.6598093,39.2126205,3,,,,POINT (39.2126205 51.6598093)
272258712,51.6630467,39.2061349,3,,,,POINT (39.2061349 51.6630467)
272258715,51.664357,39.2044794,4,,,,POINT (39.2044794 51.664357)
272258888,51.6741768,39.2161286,3,,,,POINT (39.2161286 51.6741768)
272258891,51.6796591,39.2195859,3,,,,POINT (39.2195859 51.6796591)
286040728,51.6520219,39.1371367,4,traffic_signals,,,POINT (39.1371367 51.6520219)
286040733,51.6515519,39.1428562,3,speed_camera,,,POINT (39.1428562 51.6515519)
286040745,51.6538745,39.148805,3,,,,POINT (39.148805 51.6538745)
286040768,51.6476528,39.1562605,4,traffic_signals,,,POINT (39.1562605 51.6476528)
286043274,51.6593685,39.1855809,4,,,,POINT (39.1855809 51.6593685)
286141464,51.6981939,39.1824331,4,traffic_signals,,,POINT (39.1824331 51.6981939)
286145426,51.6616064,39.2002878,4,traffic_signals,,,POINT (39.2002878 51.6616064)
286173433,51.641787,39.1568856,3,,,,POINT (39.1568856 51.641787)
286177033,51.6438729,39.1793807,3,,,,POINT (39.1793807 51.6438729)
286319007,51.6565919,39.1891733,3,,,,POINT (39.1891733 51.6565919)
286319011,51.6558592,39.187533,4,traffic_signals,,,POINT (39.187533 51.6558592)
286319016,51.6565082,39.1867432,3,,,,POINT (39.1867432 51.6565082)
286320666,51.6550241,39.1383744,3,,,,POINT (39.1383744 51.6550241)
286320677,51.6558805,39.1391672,4,,,,POINT (39.1391672 51.6558805)
286320688,51.6573282,39.1858375,4,,,,POINT (39.1858375 51.6573282)
286328766,51.6434428,39.1472678,3,,,,POINT (39.1472678 51.6434428)
286328768,51.6419306,39.1456414,3,,,,POINT (39.1456414 51.6419306)
286328785,51.6444125,39.1642591,1,,,,POINT (39.1642591 51.6444125)
286328787,51.6548853,39.1848736,3,traffic_signals,,,POINT (39.1848736 51.6548853)
286328831,51.7353642,39.179274,3,,,,POINT (39.179274 51.7353642)
286328851,51.735186,39.1808806,3,,,,POINT (39.1808806 51.735186)
286328942,51.7536457,39.1603751,3,,,,POINT (39.1603751 51.7536457)
286827971,51.6640734,39.1970474,4,traffic_signals,,,POINT (39.1970474 51.6640734)
